review_id,priority,template_id,source_id,mode,question,expected_answer_set,answer_values,answer,auto_answer_correctness,auto_evidence_faithfulness,auto_unsupported_claim_rate,auto_citation_precision,auto_citation_recall,review_decision,evidence_support,citation_sufficiency,profile_boundary,reviewer_notes
S7-BR-011,coverage_success,QT-Q01-CAUSE-CONDITION,2026-05-19:079,routed_token_matched_live_tfidf_graphrag,"What weather, volume, runway, equipment, or other condition explains the restriction?",impactingConditionMessage=STAFFING / STAFFING,"[{'predicate': 'impactingConditionMessage', 'value': 'STAFFING / STAFFING'}]","STAFFING / STAFFING Citations: t1, atcscc-2026-05-19-079-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-012,coverage_success,QT-Q01-CAUSE-CONDITION,2026-05-19:074,routed_token_matched_live_tfidf_graphrag,"What weather, volume, runway, equipment, or other condition explains the restriction?",impactingConditionMessage=STAFFING / STAFFING,"[{'predicate': 'impactingConditionMessage', 'value': 'STAFFING / STAFFING'}]","STAFFING / STAFFING Citations: t1, atcscc-2026-05-19-074-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-013,failure,QT-Q01-CAUSE-CONDITION,2026-05-15:067,routed_token_matched_live_tfidf_graphrag,"What weather, volume, runway, equipment, or other condition explains the restriction?",impactingConditionMessage=STAFFING / STAFFING,"[{'predicate': 'impactingCondition', 'value': 'staffing'}, {'predicate': 'impactingConditionMessage', 'value': 'STAFFING / STAFFING'}]","STAFFING / STAFFING Citations: atcscc-2026-05-15-067-p1-c1, t1, t2.",False,False,0.5,1.0,0.75,,,,,
S7-BR-014,coverage_success,QT-Q01-CAUSE-CONDITION,2026-05-15:084,routed_token_matched_live_tfidf_graphrag,"What weather, volume, runway, equipment, or other condition explains the restriction?",impactingConditionMessage=STAFFING / STAFFING,"[{'predicate': 'impactingConditionMessage', 'value': 'STAFFING / STAFFING'}]","The restriction is explained by STAFFING / STAFFING. Citations: t1, atcscc-2026-05-15-084-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-015,coverage_success,QT-Q01-CAUSE-CONDITION,2026-05-15:064,routed_token_matched_live_tfidf_graphrag,"What weather, volume, runway, equipment, or other condition explains the restriction?",impactingConditionMessage=STAFFING / STAFFING,"[{'predicate': 'impactingConditionMessage', 'value': 'STAFFING / STAFFING'}]","STAFFING / STAFFING Citations: t2, atcscc-2026-05-15-064-p1-c1.",True,True,0.0,1.0,0.5,,,,,
S7-BR-016,coverage_success,QT-Q01-STATUS-ACTION,2026-05-19:032,routed_token_matched_live_tfidf_graphrag,What status or action is stated for the advisory?,implementationStatus=RQD,"[{'predicate': 'implementationStatus', 'value': 'RQD'}]","The advisory status/action stated is RQD. Citations: atcscc-2026-05-19-032-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-017,coverage_success,QT-Q01-STATUS-ACTION,2026-05-19:079,routed_token_matched_live_tfidf_graphrag,What status or action is stated for the advisory?,initiativeComments=BNA STAFFING TRIGGER. MODIFIED LOW POPUP. TIME + 45.,"[{'predicate': 'initiativeComments', 'value': 'BNA STAFFING TRIGGER. MODIFIED LOW POPUP. TIME + 45.'}]","BNA STAFFING TRIGGER. MODIFIED LOW POPUP. TIME + 45. Citations: t1, atcscc-2026-05-19-079-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-018,coverage_success,QT-Q01-STATUS-ACTION,2026-05-19:074,routed_token_matched_live_tfidf_graphrag,What status or action is stated for the advisory?,initiativeComments=BNA WILL BE IN A TRACAB CONFIGURATION STARTING IN 00Z. CONFERENCE AT 1850Z USER UPDATES MUST BE RECEIVED BY: 19/1850Z,"[{'predicate': 'initiativeComments', 'value': 'BNA WILL BE IN A TRACAB CONFIGURATION STARTING IN 00Z. CONFERENCE AT 1850Z USER UPDATES MUST BE RECEIVED BY: 19/1850Z'}]","BNA will be in a TRACAB configuration starting in 00Z. Citations: atcscc-2026-05-19-074-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-019,coverage_success,QT-Q01-STATUS-ACTION,2026-05-15:067,routed_token_matched_live_tfidf_graphrag,What status or action is stated for the advisory?,"initiativeComments=ARR 20L, DEP 20R, ZERO POP UP, EXEMPT TIME +45","[{'predicate': 'initiativeComments', 'value': 'ARR 20L, DEP 20R, ZERO POP UP, EXEMPT TIME +45'}]","ARR 20L, DEP 20R, ZERO POP UP, EXEMPT TIME +45 Citations: atcscc-2026-05-15-067-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-020,coverage_success,QT-Q01-STATUS-ACTION,2026-05-15:084,routed_token_matched_live_tfidf_graphrag,What status or action is stated for the advisory?,"initiativeComments=ARR/DEP 28R/L, MODIFIED LOW POP UP, BY STATUS. PROCEDURAL COMPLICANCE ALSO A FACTOR WITH NCT STAFFING TRIGGER","[{'predicate': 'initiativeComments', 'value': 'ARR/DEP 28R/L, MODIFIED LOW POP UP, BY STATUS. PROCEDURAL COMPLICANCE ALSO A FACTOR WITH NCT STAFFING TRIGGER'}]","modified low pop up, by status Citations: atcscc-2026-05-15-084-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-021,coverage_success,QT-Q01-ROUTE-SEMANTICS,2026-05-19:079,routed_token_matched_live_tfidf_graphrag,"What reroute type, reroute reason, and constrained element are represented?",controlledNASelement=BNA,"[{'predicate': 'controlledNASelement', 'value': 'BNA'}]","partial Citations: t1, atcscc-2026-05-19-079-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-022,coverage_success,QT-Q01-ROUTE-SEMANTICS,2026-05-19:074,routed_token_matched_live_tfidf_graphrag,"What reroute type, reroute reason, and constrained element are represented?",controlledNASelement=BNA,"[{'predicate': 'controlledNASelement', 'value': 'BNA'}]","Partial answer supported: constrained element is BNA. Reroute type and reroute reason are not supported by the evidence. Citations: t1, atcscc-2026-05-19-074-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-023,coverage_success,QT-Q01-ROUTE-SEMANTICS,2026-05-15:067,routed_token_matched_live_tfidf_graphrag,"What reroute type, reroute reason, and constrained element are represented?",controlledNASelement=BNA,"[{'predicate': 'controlledNASelement', 'value': 'BNA'}]","Partial answer supported: constrained element is BNA. Reroute type and reroute reason are not supported by the evidence. Citations: atcscc-2026-05-15-067-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-024,coverage_success,QT-Q01-ROUTE-SEMANTICS,2026-05-15:084,routed_token_matched_live_tfidf_graphrag,"What reroute type, reroute reason, and constrained element are represented?",controlledNASelement=SFO,"[{'predicate': 'controlledNASelement', 'value': 'SFO'}]","Partial answer supported: constrained element is SFO. Reroute type and reroute reason are not supported by the evidence. Citations: atcscc-2026-05-15-084-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-025,coverage_success,QT-Q01-ROUTE-SEMANTICS,2026-05-14:089,routed_token_matched_live_tfidf_graphrag,"What reroute type, reroute reason, and constrained element are represented?",controlledNASelement=BNA,"[{'predicate': 'controlledNASelement', 'value': 'BNA'}]","Partial answer: the constrained element is BNA. The reroute type and reroute reason are not supported by the evidence. Citations: atcscc-2026-05-14-089-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-026,coverage_success,QT-A01-ABSTENTION-FIELDS,2026-05-19:032,routed_token_matched_live_tfidf_graphrag,Which expected fields are absent or unsupported and should trigger abstention?,absent:controlledNASelement | absent:extensionProbability | absent:impactingCondition | absent:reRouteReason,[],"Insufficient evidence to answer. Abstain: the evidence only supports an EFFECTIVE TIME range and advisory metadata, but does not support the requested field list for what should trigger abstention. Missing/unsupported fields are not explicitly enumerated in the evidence. Citations: atcscc-2026-05-19-032-p1-c1, atcscc-2026-05-18-075-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-027,coverage_success,QT-A01-ABSTENTION-FIELDS,2026-05-15:063,routed_token_matched_live_tfidf_graphrag,Which expected fields are absent or unsupported and should trigger abstention?,absent:controlledNASelement | absent:extensionProbability | absent:impactingCondition | absent:reRouteReason,[],"Insufficient evidence to answer. Abstain: the evidence only supports an effective time window and a source_id/advisory header, but it does not support the requested question’s expected field set beyond that. Missing/unsupported fields include any predicate names not present in the evidence, and no additional structured fields are provided to answer which specific expected fields are absent. Citations: atcscc-2026-05-15-063-p1-c1, atcscc-2026-05-18-075-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-028,coverage_success,QT-A01-ABSTENTION-FIELDS,2026-05-18:069,routed_token_matched_live_tfidf_graphrag,Which expected fields are absent or unsupported and should trigger abstention?,absent:controlledNASelement | absent:extensionProbability | absent:impactingCondition | absent:reRouteReason,[],"Insufficient evidence to answer. Abstain: the evidence only supports an effective time range and an advisory source_id, but not the requested answer content beyond that. Unsupported/absent expected fields include any advisory subject, facility/airport, impact, scope, reason, and any structured predicate list beyond the effective time and source metadata. Citations: atcscc-2026-05-18-069-p1-c1, atcscc-2026-05-18-075-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-029,coverage_success,QT-A01-ABSTENTION-FIELDS,2026-05-14:059,routed_token_matched_live_tfidf_graphrag,Which expected fields are absent or unsupported and should trigger abstention?,absent:controlledNASelement | absent:extensionProbability | absent:impactingCondition | absent:reRouteReason,[],"Insufficient evidence to answer. abstain Citations: atcscc-2026-05-14-059-p1-c1, atcscc-2026-05-19-059-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-030,coverage_success,QT-A01-ABSTENTION-FIELDS,2026-05-19:059,routed_token_matched_live_tfidf_graphrag,Which expected fields are absent or unsupported and should trigger abstention?,absent:controlledNASelement | absent:extensionProbability | absent:impactingCondition | absent:reRouteReason,[],"Insufficient evidence to answer. Abstain: the evidence only supports an EFFECTIVE TIME field and a minimal advisory_date/advisory_number mention; it does not support additional requested fields. Unsupported/absent expected fields include any field beyond EFFECTIVE TIME, advisory_date, and advisory_number, and no graph triples are provided. Citations: atcscc-2026-05-19-059-p1-c1, atcscc-2026-05-14-059-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-031,coverage_success,QT-Q01-AFFECTED-NAS-ELEMENTS,2026-05-19:079,routed_token_matched_dense_graphrag,"Which airports, ARTCCs, routes, or other NAS elements are affected by the advisory?",controlledNASelement=BNA,"[{'predicate': 'controlledNASelement', 'value': 'BNA'}]","BNA Citations: atcscc-2026-05-19-079-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-032,coverage_success,QT-Q01-AFFECTED-NAS-ELEMENTS,2026-05-19:074,routed_token_matched_dense_graphrag,"Which airports, ARTCCs, routes, or other NAS elements are affected by the advisory?",controlledNASelement=BNA,"[{'predicate': 'controlledNASelement', 'value': 'BNA'}]","BNA Citations: atcscc-2026-05-19-074-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-033,coverage_success,QT-Q01-AFFECTED-NAS-ELEMENTS,2026-05-15:067,routed_token_matched_dense_graphrag,"Which airports, ARTCCs, routes, or other NAS elements are affected by the advisory?",controlledNASelement=BNA,"[{'predicate': 'controlledNASelement', 'value': 'BNA'}]","BNA Citations: t1, atcscc-2026-05-15-067-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-034,coverage_success,QT-Q01-AFFECTED-NAS-ELEMENTS,2026-05-15:084,routed_token_matched_dense_graphrag,"Which airports, ARTCCs, routes, or other NAS elements are affected by the advisory?",controlledNASelement=SFO,"[{'predicate': 'controlledNASelement', 'value': 'SFO'}]","SFO Citations: atcscc-2026-05-15-084-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-035,coverage_success,QT-Q01-AFFECTED-NAS-ELEMENTS,2026-05-14:089,routed_token_matched_dense_graphrag,"Which airports, ARTCCs, routes, or other NAS elements are affected by the advisory?",controlledNASelement=BNA,"[{'predicate': 'controlledNASelement', 'value': 'BNA'}]","BNA Citations: atcscc-2026-05-14-089-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-036,coverage_success,QT-Q01-TIME-WINDOW,2026-05-19:032,routed_token_matched_dense_graphrag,What are the effective start and end times for the advisory?,effectiveStartTime=2026-05-19T13:22:00Z | effectiveEndTime=2026-05-19T16:30:00Z,"[{'predicate': 'effectiveStartTime', 'value': '2026-05-19T13:22:00Z'}, {'predicate': 'effectiveEndTime', 'value': '2026-05-19T16:30:00Z'}]",The advisory’s effective time window is 2026-05-19T13:22:00Z to 2026-05-19T16:30:00Z. Citations: atcscc-2026-05-19-032-p1-c1.,True,True,0.0,1.0,0.3333,,,,,
S7-BR-037,coverage_success,QT-Q01-TIME-WINDOW,2026-05-15:063,routed_token_matched_dense_graphrag,What are the effective start and end times for the advisory?,effectiveStartTime=2026-05-15T19:18:00Z | effectiveEndTime=2026-05-16T00:30:00Z,"[{'predicate': 'effectiveStartTime', 'value': '2026-05-15T19:18:00Z'}, {'predicate': 'effectiveEndTime', 'value': '2026-05-16T00:30:00Z'}]",The advisory effective time window is 2026-05-15T19:18:00Z to 2026-05-16T00:03:00Z. Citations: atcscc-2026-05-15-063-p1-c1.,True,True,0.0,1.0,0.3333,,,,,
S7-BR-038,coverage_success,QT-Q01-TIME-WINDOW,2026-05-18:069,routed_token_matched_dense_graphrag,What are the effective start and end times for the advisory?,effectiveStartTime=2026-05-18T15:45:00Z | effectiveEndTime=2026-05-18T20:30:00Z,"[{'predicate': 'effectiveStartTime', 'value': '2026-05-18T15:45:00Z'}, {'predicate': 'effectiveEndTime', 'value': '2026-05-18T20:30:00Z'}]",The advisory effective time window is 2026-05-18T15:45:00Z to 2026-05-18T20:30:00Z. Citations: atcscc-2026-05-18-069-p1-c1.,True,True,0.0,1.0,0.3333,,,,,
S7-BR-039,coverage_success,QT-Q01-TIME-WINDOW,2026-05-14:059,routed_token_matched_dense_graphrag,What are the effective start and end times for the advisory?,effectiveStartTime=2026-05-14T15:54:00Z | effectiveEndTime=2026-05-15T01:00:00Z,"[{'predicate': 'effectiveStartTime', 'value': '2026-05-14T15:54:00Z'}, {'predicate': 'effectiveEndTime', 'value': '2026-05-15T01:00:00Z'}]",The advisory’s effective time window is 2026-05-14T15:15:54Z to 2026-05-15T01:01:00Z. Citations: atcscc-2026-05-14-059-p1-c1.,True,True,0.0,1.0,0.3333,,,,,
S7-BR-040,coverage_success,QT-Q01-TIME-WINDOW,2026-05-19:059,routed_token_matched_dense_graphrag,What are the effective start and end times for the advisory?,effectiveStartTime=2026-05-19T16:38:00Z | effectiveEndTime=2026-05-20T02:30:00Z,"[{'predicate': 'effectiveStartTime', 'value': '2026-05-19T16:38:00Z'}, {'predicate': 'effectiveEndTime', 'value': '2026-05-20T02:30:00Z'}]",The advisory effective time window is 2026-05-19T16:38:00Z to 2026-05-20T02:30:00Z. Citations: atcscc-2026-05-19-059-p1-c1.,True,True,0.0,1.0,0.3333,,,,,
S7-BR-041,coverage_success,QT-Q01-CAUSE-CONDITION,2026-05-19:079,routed_token_matched_dense_graphrag,"What weather, volume, runway, equipment, or other condition explains the restriction?",impactingConditionMessage=STAFFING / STAFFING,"[{'predicate': 'impactingConditionMessage', 'value': 'STAFFING / STAFFING'}]","STAFFING / STAFFING Citations: t1, atcscc-2026-05-19-079-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-042,coverage_success,QT-Q01-CAUSE-CONDITION,2026-05-19:074,routed_token_matched_dense_graphrag,"What weather, volume, runway, equipment, or other condition explains the restriction?",impactingConditionMessage=STAFFING / STAFFING,"[{'predicate': 'impactingConditionMessage', 'value': 'STAFFING / STAFFING'}]","STAFFING / STAFFING Citations: atcscc-2026-05-19-074-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-043,failure,QT-Q01-CAUSE-CONDITION,2026-05-15:067,routed_token_matched_dense_graphrag,"What weather, volume, runway, equipment, or other condition explains the restriction?",impactingConditionMessage=STAFFING / STAFFING,"[{'predicate': 'impactingCondition', 'value': 'other'}, {'predicate': 'impactingConditionMessage', 'value': 'STAFFING / STAFFING'}]","STAFFING / STAFFING Citations: t1, t2, atcscc-2026-05-15-067-p1-c1.",False,False,0.5,1.0,0.75,,,,,
S7-BR-044,coverage_success,QT-Q01-CAUSE-CONDITION,2026-05-15:084,routed_token_matched_dense_graphrag,"What weather, volume, runway, equipment, or other condition explains the restriction?",impactingConditionMessage=STAFFING / STAFFING,"[{'predicate': 'impactingConditionMessage', 'value': 'STAFFING / STAFFING'}]","The restriction is explained by staffing. Citations: atcscc-2026-05-15-084-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-045,failure,QT-Q01-CAUSE-CONDITION,2026-05-15:064,routed_token_matched_dense_graphrag,"What weather, volume, runway, equipment, or other condition explains the restriction?",impactingConditionMessage=STAFFING / STAFFING,"[{'predicate': 'impactingCondition', 'value': 'staffing'}, {'predicate': 'impactingConditionMessage', 'value': 'STAFFING / STAFFING'}]","STAFFING / STAFFING Citations: t1, t2, atcscc-2026-05-15-064-p1-c1.",False,False,0.5,1.0,0.75,,,,,
S7-BR-046,coverage_success,QT-Q01-STATUS-ACTION,2026-05-19:032,routed_token_matched_dense_graphrag,What status or action is stated for the advisory?,implementationStatus=RQD,"[{'predicate': 'implementationStatus', 'value': 'RQD'}]","RQD Citations: chunk_id:atcscc-2026-05-19-032-p1-c1, triple_id:t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-047,coverage_success,QT-Q01-STATUS-ACTION,2026-05-19:079,routed_token_matched_dense_graphrag,What status or action is stated for the advisory?,initiativeComments=BNA STAFFING TRIGGER. MODIFIED LOW POPUP. TIME + 45.,"[{'predicate': 'initiativeComments', 'value': 'BNA STAFFING TRIGGER. MODIFIED LOW POPUP. TIME + 45.'}]",MODIFIED LOW POPUP. Citations: atcscc-2026-05-19-079-p1-c1.,True,True,0.0,1.0,0.3333,,,,,
S7-BR-048,coverage_success,QT-Q01-STATUS-ACTION,2026-05-19:074,routed_token_matched_dense_graphrag,What status or action is stated for the advisory?,initiativeComments=BNA WILL BE IN A TRACAB CONFIGURATION STARTING IN 00Z. CONFERENCE AT 1850Z USER UPDATES MUST BE RECEIVED BY: 19/1850Z,"[{'predicate': 'initiativeComments', 'value': 'BNA WILL BE IN A TRACAB CONFIGURATION STARTING IN 00Z. CONFERENCE AT 1850Z USER UPDATES MUST BE RECEIVED BY: 19/1850Z'}]","BNA will be in a TRACAB configuration starting in 00Z. Citations: atcscc-2026-05-19-074-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-049,coverage_success,QT-Q01-STATUS-ACTION,2026-05-15:067,routed_token_matched_dense_graphrag,What status or action is stated for the advisory?,"initiativeComments=ARR 20L, DEP 20R, ZERO POP UP, EXEMPT TIME +45","[{'predicate': 'initiativeComments', 'value': 'ARR 20L, DEP 20R, ZERO POP UP, EXEMPT TIME +45'}]","ARR 20L, DEP 20R, ZERO POP UP, EXEMPT TIME +45 Citations: t1, atcscc-2026-05-15-067-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-050,coverage_success,QT-Q01-STATUS-ACTION,2026-05-15:084,routed_token_matched_dense_graphrag,What status or action is stated for the advisory?,"initiativeComments=ARR/DEP 28R/L, MODIFIED LOW POP UP, BY STATUS. PROCEDURAL COMPLICANCE ALSO A FACTOR WITH NCT STAFFING TRIGGER","[{'predicate': 'initiativeComments', 'value': 'ARR/DEP 28R/L, MODIFIED LOW POP UP, BY STATUS. PROCEDURAL COMPLICANCE ALSO A FACTOR WITH NCT STAFFING TRIGGER'}]","MODIFIED LOW POP UP, BY STATUS Citations: atcscc-2026-05-15-084-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-051,coverage_success,QT-Q01-ROUTE-SEMANTICS,2026-05-19:079,routed_token_matched_dense_graphrag,"What reroute type, reroute reason, and constrained element are represented?",controlledNASelement=BNA,"[{'predicate': 'controlledNASelement', 'value': 'BNA'}]","BNA is the only supported constrained element; reroute type and reroute reason are not supported by the evidence. Citations: atcscc-2026-05-19-079-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-052,coverage_success,QT-Q01-ROUTE-SEMANTICS,2026-05-19:074,routed_token_matched_dense_graphrag,"What reroute type, reroute reason, and constrained element are represented?",controlledNASelement=BNA,"[{'predicate': 'controlledNASelement', 'value': 'BNA'}]","Partial answer: constrained element is BNA; reroute type and reroute reason are unsupported by the evidence. Citations: t1, atcscc-2026-05-19-074-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-053,coverage_success,QT-Q01-ROUTE-SEMANTICS,2026-05-15:067,routed_token_matched_dense_graphrag,"What reroute type, reroute reason, and constrained element are represented?",controlledNASelement=BNA,"[{'predicate': 'controlledNASelement', 'value': 'BNA'}]","partial Citations: atcscc-2026-05-15-067-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-054,coverage_success,QT-Q01-ROUTE-SEMANTICS,2026-05-15:084,routed_token_matched_dense_graphrag,"What reroute type, reroute reason, and constrained element are represented?",controlledNASelement=SFO,"[{'predicate': 'controlledNASelement', 'value': 'SFO'}]","Only the constrained element is supported by the evidence; reroute type and reroute reason are not supported. Citations: t1, atcscc-2026-05-15-084-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-055,coverage_success,QT-Q01-ROUTE-SEMANTICS,2026-05-14:089,routed_token_matched_dense_graphrag,"What reroute type, reroute reason, and constrained element are represented?",controlledNASelement=BNA,"[{'predicate': 'controlledNASelement', 'value': 'BNA'}]","partial answer Citations: t1, atcscc-2026-05-14-089-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-056,coverage_success,QT-A01-ABSTENTION-FIELDS,2026-05-19:032,routed_token_matched_dense_graphrag,Which expected fields are absent or unsupported and should trigger abstention?,absent:controlledNASelement | absent:extensionProbability | absent:impactingCondition | absent:reRouteReason,[],"Insufficient evidence to answer. Abstain: the evidence only supports an effective time window and advisory metadata, but does not support the requested field set needed to answer the question fully. Citations: atcscc-2026-05-19-032-p1-c1, atcscc-2026-05-18-021-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-057,coverage_success,QT-A01-ABSTENTION-FIELDS,2026-05-15:063,routed_token_matched_dense_graphrag,Which expected fields are absent or unsupported and should trigger abstention?,absent:controlledNASelement | absent:extensionProbability | absent:impactingCondition | absent:reRouteReason,[],"Insufficient evidence to answer. Abstain Citations: atcscc-2026-05-15-063-p1-c1, atcscc-2026-05-18-021-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
